A
Abe 阿部。安部。安倍。阿倍。  
Katsu 胜。  
Katsube 胜部。  
Katsuhara 胜原。  
Katsui 胜井。  
Katsukawa 胜川。  
Katsuki 胜木。香月。  
Katsukura 胜仓。  
Katsuma 胜间。  
Katsumata 胜又。胜俣。胜间田。胜亦。胜股。  
Katsumi 胜见。  
Katsumoto 胜本。  
Katsumura 胜村。  
Katsunishi 胜西。  
Katsuno 胜野。  
Katsunuma 胜沼。  
Katsura 桂。  
Katsurada 桂田。  
Katsuragawa 桂川。  
Katsuragi 葛城。  
Katsurahara 葛原。  
Katsuramura 桂村。  
Katsurayama 葛山。桂山。  
Katsushika 葛饰。  
Katsushima 胜岛。葛岛。  
Katsuta 胜田。  
Katsutani 胜谷。  
Katsuura 胜浦。  
Katsuya 胜谷。胜矢。  
Katsuyama 胜山。  
Katsuzawa 胜泽。  
Kawa 川。河。  
Kawabata 川端。河鳍。  
Kawabe 川边。河边。川部。  
Kawabuchi 川渊。  
Kawachi 川内。川地。  
Kawada 川田。河田。  
Kawagishi 川岸。河岸。  
Kawagoe 川越。河越。  
Kawaguchi 川口。河口。  
Kawahara 河原。川原。  
Kawaharada 河原田。  
Kawaharazuka 河原冢。  
Kawahashi 川桥。  
Kawahata 川畑。川幡。  
Kawahigashi 河东。川东。  
Kawahito 川人。  
Kawai 河合。川合。川井。河井。河相。  
Kawaide 川出。  
Kawaji 川路。  
Kawajiri 川尻。  
Kawakami 川上。河上。  
Kawakatsu 川胜。  
Kawaki 川喜。  
Kawakita 川北。河北。川来。河喜多。  
Kawakubo 川久保。川洼。  
Kawamata 川又。川俣。河又。  
Kawami 川见。  
Kawaminami 河南。  
Kawamitsu 川满。  
Kawamo 川面。  
Kawamori 河盛。  
Kawamoto 川本。河本。川元。  
Kawamukai 川向。  
Kawamura 川村。河村。  
Kawana 川名。  
Kawanabe 川锅。河锅。川那边。  
Kawanaka 川中。  
Kawanami 河南。川浪。  
Kawane 川根。  
Kawanishi 川西。河西。  
Kawano 川野。河野。  
Kawanobe 川野边。  
Kawarada 川原田。河原田。  
Kawarai 瓦井。  
Kawarazaki 河原崎。  
Kawasaki 川崎。河崎。  
Kawase 川濑。河濑。  
Kawashima 川岛。河岛。  
Kawashita 川下。  
Kawasumi 河角。  
Kawata 河田。川田。  
Kawatake 河竹。  
Kawatani 川谷。  
Kawate 川手。  
Kawato 川人。川户。河东。川东。  
Kawatsura 川连。  
Kawauchi 河内。川内。  
Kawaue 河上。  
Kawaura 川浦。  
Kawawada 川和田。  
Kawaya 川谷。  
Kawazoe 川添。川副。  
Kawazu 河津。川津。  
Kawazumi 川澄。  
Kawazura 川面。  
Kaya 贺阳。贺屋。加舍。  
Kayaba 萱场。  
Kayahara 茅原。  
Kayama 加山。香山。夏山。  
Kayano 茅野。萱野。  
Kayanuma 萱沼。  
Kazahaya 风早。  
Kazama 风间。  
Kazamaki 风卷。  
Kazamatsuri 风祭。  
Kazami 风见。  
Kazanin 花山院。  
Kazeto 风户。  
Kazui 一井。  
Kazusa 上总。  
Kebukawa 发生川。  
Kehi 气比。  
Keino 庆良。  
Keira 计良。  
Kemuyama 烟山。  
Kenjo 轩上。  
Kenmochi 剑持。  
Kenmoku 见目。  
Kenmotsu 监物。  
Kennoki 剑木。  
Keshi 芥子。  
Kezuka 毛冢。  
Kiba 木场。  
Kibe 木部。  
Kibi 吉备。  
Kichise 吉濑。  
Kichiyama 吉山。  
Kida 木田。喜田。贵田。纪田。  
Kidaira 纪平。  
Kidera 木寺。  
Kido 木户。城户。  
Kidokoro 城所。木所。  
Kifuji 木藤。  
Kiga 木贺。  
Kigasawa 气贺泽。  
Kigawada 木川田。  
Kigi 木木。  
Kigoshi 木越。  
Kiguchi 木口。  
Kigure 木暮。  
Kihara 木原。鬼原。  
Koito 小系。小丝。  
Koiwa 小岩。  
Koiwai 小岩井。  
Koizuka 肥冢。  
Koizumi 小泉。  
Koji 小路。  
Kojima 小岛。古岛。  
Kojo 古城。  
Kokai 小贝。小海。  
Kokaji 小梶。  
Kokan 古闲。  
Kokatsu 小胜。  
Kokawa 古河。  
Kokita 小北。  
Kokonoe 九重。  
Kokuba 国场。  
Kokubo 小久保。国保。  
Kokubun 国分。  
Kokufu 国府。  
Kokufuda 国府田。  
Kokuni 小国。  
Kokura 小仓。  
Kokuryo 国领。  
Kokusho 国生。黑正。  
Koma 小间。高丽。驹。古满。  
Komaba 驹场。  
Komachi 小町。  
Komagata 驹形。  
Komai 驹井。  
Komakine 驹木根。  
Komamiya 驹宫。  
Komamura 驹村。  
Komano 驹野。  
Komasaki 驹崎。  
Komata 小俣。驹田。  
Komatani 驹谷。  
Komatsu 小松。  
Komatsubara 小松原。  
Komatsuda 小松田。  
Komatsuzaki 小松崎。  
Komaya 驹谷。  
Komazawa 驹泽。  
Komehana 米花。  
Komehara 米原。  
Komei 米井。  
Komekawa 米川。  
Komekura 米仓。  
Komemoto 米本。  
Komemura 米村。  
Komeno 米野。  
Komeoka 米冈。  
Komeshima 米岛。  
Kometa 米田。  
Kometani 米谷。  
Kometsu 米津。  
Komeya 米谷。  
Komeyama 米山。  
Komezaki 米崎。  
Komezawa 米泽。  
Kominami 小南。  
Kominato 小凑。  
Komine 小峰。小岭。  
Komino 小美浓。  
Komiya 小宫。古宫。  
Komiyama 小宫山。小见山。  
Komobuchi 菰渊。  
Komoike 菰池。  
Komori 小森。古森。小守。  
Komoritani 小森谷。  
Komoriya 小森谷。  
Komota 菰田。荐田。  
Komoto 古本。河本。  
Komotomura 小本村。  
Komuchi 神鞭。  
Komukai 小向。  
Komura 小村。古村。幸村。  
Komuro 小室。  
Kon 今。近。金。  
Konagai 小长井。  
Konaka 小中。  
Konakamura 小中村。  
Konakawa 粉川。  
Konami 小南。  
Konbaru 金春。  
Konda 今田。近田。权田。  
Kondo 近藤。绀藤。  
Konishi 小西。香西。  
Konjin 金神。  
Konko 金光。  
Konnai 近内。  
Konno 今野。绀野。近野。昆野。  
Kono 古野。高野。河野。幸野。甲野。向野。  
Konoe 近卫。  
Konoike 鸿池。  
Konose 小野濑。  
Kontani 绀谷。  
Konuki 小贯。  
Konuma 小沼。  
Konya 绀谷。  
Koo 小尾。  
Kopori 小堀。  
Koraku 工乐。  
Koreeda 是枝。  
Korehisa 伊久。  
Koremune 惟宗。  
Korenaga 是永。  
Koresawa 是泽。  
Kori 郡。  
Koriyama 郡山。  
Koromogawa 衣川。  
Kosaka 小阪。高阪。上阪。香阪。  
Kosakai 小酒井。  
Kosaki 神崎。  
Kose 古濑。小濑。巨势。  
Koseki 古关。  
Koshi 越。  
Koshiba 小柴。  
Koshibe 越部。  
Koshida 越田。  
Koshigoe 腰越。  
Koshiishi 舆石。  
Koshiji 越路。  
Koshikawa 越川。  
Koshima 小岛。古岛。向岛。  
Koshimizu 小清水。越水。舆水。  
Koshimura 越村。  
Koshino 越野。  
Koshiro 小城。古城。  
Koshitsuka 腰冢。  
Koshiyama 越山。  
Koshizuka 越冢。  
Kosho 小盐。  
Kosone 小曾根。  
Kosuda 小须田。  
Kosuga 小菅。  
Kosuge 小菅。小管。  
Kosugi 小杉。  
Kota 古田。光田。香田。  
Kotachi 小太刀。  
Kotado 古田土。  
Kotagawa 小田川。  
Kotajima 古田岛。  
Kotaka 小鹰。  
Kotake 小竹。  
Kotaki 小泷。  
Kotani 小谷。古谷。  
Kotate 小馆。  
Koto 神户。古藤。小藤。古东。  
Kotoku 幸德。  
Kotsuki 高月。上月。  
Kouchi 河内。  
Koura 小浦。  
Kouta 古宇田。  
Kowada 小和田。  
Koya 小谷。古屋。小屋。古矢。  
Koyabu 小薮。  
Koyama 小山。古山。高山。神山。向山。光山。  
Koyamada 小山田。  
Koyanagi 小柳。  
Koyanaka 古屋仲。 
Koyano 小谷野。古谷野。  
Koyasu 子安。小安。  
Koyata 小谷田。  
Koyatsu 小谷津。  
Kozai 古在。香西。  
Kozaka 小阪。  
Kozakai 小堺。小酒井。  
Kozaki 小崎。  
Kozawa 小泽。古泽。  
Kozeki 小关。  
Kozono 小园。  
Kozu 高津。兴津。河津。神津。  
Kozuka 小冢。狐冢。  
Kozuki 上月。香月。  
Kozutsumi 小堤。  
Kubo 久保。洼。  
Kubodera 久保寺。洼寺。  
Kuboi 久保井。  
Kubokawa 久保川。洼川。  
Kuboki 久保木。  
Kubomura 久保村。  
Kuboshima 久保岛。  
Kubota 久保田。洼田。  
Kubotani 久保谷。洼谷。  
Kuboyama 久保山。  
Kubushiro 久布白。  
Kuchiki 朽木。  
Kuda 久田。  
Kudara 百济。  
Kudo 工藤。久藤。  
Kuga 久我。陆。  
Kuge 久下。  
Kuhara 久原。  
Kuji 久慈。  
Kujime 久次米。  
Kujirai 鲸井。  
Kujiraoka 鲸冈。  
Kujo 九条。  
Kuki 九鬼。  
Kukita 久木田。  
Kukoku 空谷。  
Kumabe 隈部。  
Kumagai 熊谷。  
Kumagawa 隈川。  
Kumagaya 熊谷。  
Kumai 熊井。  
Kumakawa 熊川。  
Kumaki 熊木。  
Kumakiri 熊切。  
Kumakura 熊仓。  
Kumamoto 熊本。隈元。  
Kumano 熊野。  
Kumaoka 熊冈。  
Kumasaka 熊阪。  
Kumashiro 熊代。熊城。  
Kumata 熊田。  
Kumatani 熊谷。  
Kumaya 熊谷。  
Kumazaki 熊崎。  
Kumazawa 熊泽。  
Kume 久米。  
Kumoi 云井。  
Kumon 公文。  
Kumoto 久本。  
Kumura 久村。  
Kunai 宫内。  
Kunieda 国枝。邦枝。  
Kunigami 国头。  
Kunihiro 国广。  
Kunii 国井。  
Kunikata 国方。  
Kunikida 国木田。  
Kunimatsu 国松。  
Kunimi 国见。  
Kunimitsu 国光。  
Kunimoto 国本。  
Kuninaga 邦良。  
Kuninaka 国中。  
Kuninomiyatsuko 国造。  
Kunisada 国定。  
Kunisaki 国崎。  
Kunisawa 国泽。  
Kunishi 国司。  
Kunishige 国重。  
Kunishima 国岛。  
Kunita 国田。  
Kunitani 国谷。  
Kunito 国藤。  
Kunitomo 国友。  
Kuniwake 国分。  
Kuniya 国谷。  
Kuniyasu 国安。  
Kuniyoshi 国吉。  
Kunizawa 国泽。  
Kunji 郡司。  
Kuno 久野。久能。  
Kunugi 功刀。  
Kura 仓。藏。  
Kurabayashi 仓林。  
Kurabe 仓部。椋部。  
Kurachi 仓知。仓地。  
Kuragami 仓上。  
Kurahara 藏原。  
Kurahashi 仓桥。  
Kurahashibe 椋桥部。  
Kurai 仓井。  
Kuraishi 仓石。  
Kurakake 鞍悬。  
Kurakata 仓方。藏方。  
Kuraki 仓木。  
Kuramata 仓又。  
Kuramitsu 仓光。  
Kuramochi 仓持。  
Kuramoto 仓本。藏本。  
Kuranari 仓成。  
Kurano 仓野。藏野。  
Kuraoka 仓冈。  
Kurasawa 仓泽。  
Kurashige 仓茂。仓重。仓繁。  
Kurashima 仓岛。  
Kurashina 仓品。仓科。  
Kurata 仓田。藏田。  
Kuratani 仓谷。  
Kuratomi 仓富。  
Kurauchi 仓内。藏内。  
Kuraya 仓谷。  
Kure 吴。  
Kurebayashi 红林。搏林。  
Kuremoto 吴本。  
Kureyama 吴山。  
Kuribayashi 栗林。  
Kurihara 栗原。  
Kurihashi 栗桥。  
Kuriiwa 栗岩。  
Kuriki 栗木。栗城。  
Kurimoto 栗本。  
Kurimura 栗村。  
Kurino 栗野。  
Kurioka 栗冈。  
Kurisaki 栗崎。  
Kurishima 栗岛。  
Kurisu 栗栖。栗须。  
Kurita 栗田。  
Kuritani 栗谷。  
Kuriya 栗谷。  
Kuriyagawa 厨川。  
Kuriyama 栗山。  
Kurobe 黑部。  
Kuroda 黑田。畔田。  
Kuroe 黑江。  
Kurogane 黑金。  
Kuroha 黑羽。  
Kuroi 黑井。  
Kuroishi 黑石。  
Kuroita 黑板。  
Kuroiwa 黑岩。  
Kurokawa 黑河。黑川。  
Kuroki 黑木。  
Kuroko 黑子。  
Kurokoma 黑驹。  
Kurokouchi 黑河内。  
Kuromame 黑豆。  
Kuromatsu 黑松。  
Kurono 黑野。  
Kuronuma 黑沼。  
Kurooka 黑冈。  
Kurosaka 黑阪。  
Kurosaki 黑崎。  
Kurosawa 黑泽。  
Kurose 黑濑。  
Kuroshima 黑岛。  
Kurosu 黑须。  
Kurosumi 黑住。  
Kurota 黑田。  
Kurotaki 黑泷。  
Kurotani 黑谷。  
Kuroyanagi 黑柳。畔柳。  
Kurozawa 黑泽。  
Kurozumi 黑住。  
Kuruhara 来原。  
Kuruma 车。久留间。来马。  
Kurumada 车田。  
Kurumatani 车谷。  
Kurushima 久留岛。  
Kurusu 栗栖。来栖。  
Kusaba 草场。草叶。  
Kusafuka 草深。  
Kusaga 日下。  
Kusajima 草岛。  
Kusaka 日下。久阪。  
Kusakabe 日下部。  
Kusakai 草开。  
Kusakari 草刈。  
Kusakawa 草川。  
Kusama 草间。日马。  
Kusamori 草森。  
Kusanagi 草剃。日柳。  
Kusano 草野。  
Kusayanagi 草柳。  
Kuse 久世。  
Kushi 久志。  
Kushida 栉田。串田。  
Kushikata 久志坚。  
Kushima 久岛。  
Kushiro 久代。钏。  
Kushita 久下。  
Kusu 楠。  
Kusuba 楠叶。  
Kusube 楠部。  
Kusuda 楠田。  
Kusuhara 楠原。  
Kusuki 楠木。  
Kusume 楠目。  
Kusumi 久住。楠见。久须美。久隅。  
Kusumoto 楠本。  
Kusunoki 楠。楠木。  
Kusunose 楠濑。  
Kususe 楠濑。  
Kusuyama 楠山。  
Kutomi 久富。  
Kutsukake 沓挂。  
Kutsuki 朽木。  
Kutsuma 久津间。  
Kutsumi 久津见。  
Kutsuna 忽那。  
Kutsuwada 辔田。  
Kutsuzawa 沓泽。  
Kuwabara 桑原。  
Kuwae 加。  
Kuwahara 桑原。  
Kuwahata 桑畑。  
Kuwajima 桑岛。  
Kuwaki 桑木。  
Kuwamura 桑村。  
Kuwana 桑名。  
Kuwano 桑野。  
Kuwasawa 桑泽。  
Kuwata 桑田。  
Kuwayama 桑山。  
Kuwazawa 桑泽。  
Kuyama 久山。  
Kuze 久世。  
Kuzuhara 葛原。  
Kuzumoto 葛本。  
Kuzuo 葛生。  
Kuzuoka 葛冈。  
Kyoda 京田。  
Kyogoku 京极。  
Kyoi 京井。  
Kyono 京野。  
Kyotani 京谷。  
Kyotoku 行德。  
Kyoya 京谷。  
Kyoyama 京山。  
Kyuno 久野。
日本百家姓M-S

M 

Mabashi 马桥。  
Mabe 间部。  
Mabuchi 马渊。  
Machida 町田。  
Machii 町井。  
Machijiri 町尻。  
Machimura 町村。  
Machino 町野。  
Machiyama 町山。  
Mada 真田。  
Madono 真殿。  
Mae 前。  
Maebara 前原。  
Maebashi 前桥。  
Maeda 前田。  
Maedako 前田河。  
Maede 前出。  
Maedo 前户。  
Maehara 前原。  
Maehata 前畑 。  
Maejima 前岛。  
Maekawa 前川。  
Maemura 前村。  
Maenaka 前中。  
Maenishi 前西。  
Maeno 前野。  
Maeo 前尾。  
Maeoka 前冈。  
Maetani 前谷。  
Maeyama 前山。  
Maezawa 前泽。  
Mafune 真船。  
Magara 真柄。  
Magoshi 马越。  
Maibara 米原。  
Maida 米田。  
Maide 舞出。  
Maie 真家。  
Maijima 米岛。  
Majima 真岛。间岛。马岛。  
Makabe 真壁。  
Maki 牧。真木。桢。卷。  
Makieda 桢枝。  
Makiguchi 牧口。  
Makihara 牧原。桢原。  
Makimoto 牧本。桢本。  
Makimura 牧村。桢村。  
Makino 牧野。桢野。  
Makise 牧濑。  
Makishima 牧岛。桢岛。卷岛。  
Makita 牧田。莳田。桢田。卷田。  
Makiuchi 牧内。  
Makiura 牧浦。  
Makiyama 牧山。桢山。  
Makuta 幕田。  
Makuzu 真葛。  
Mamata 真真田。间间田。尽田。  
Mame 马目。  
Mamiya 间宫。  
Man 万。  
Manabe 真锅。真部。间部。  
Manaka 间中。真中。  
Manaki 真木。  
Manase 曲直濑。  
Manda 满田。万田。茨田。  
Mandai 万代。  
Mangai 万谷。  
Maniwa 间庭。  
Manno 万野。  
Mano 真野。间野。麻野。  
Mantani 万谷。  
Manya 万谷。  
Mariko 鞠子。  
Maru 丸。  
Marubashi 丸桥。  
Marubayashi 丸林。  
Maruhashi 丸桥。  
Marui 丸井。  
Marukawa 丸川。  
Maruki 丸木。  
Maruko 丸子。  
Marumo 丸茂。  
Marumoto 丸本。  
Maruno 丸野。  
Maruo 丸尾。丹尾。  
Maruoka 丸冈。  
Marusawa 丸泽。  
Marushima 丸岛。  
Maruta 丸田。  
Marutani 丸谷。圆谷。  
Maruya 丸屋。丸谷。圆谷。  
Maruyama 丸山。圆山。  
Masada 正田。  
Masago 真砂。  
Masai 正井。柾井。  
Masaki 正木。柾木。政木。  
Masamori 正森。  
Masamune 正宗。  
Masamura 正村。  
Masaoka 正冈。政冈。  
Masata 政田。  
Masatomi 正富。  
Masayama 当山。  
Mase 间濑。  
Mashiba 真柴。  
Mashida 猿田。  
Mashiko 益子。增子。  
Mashita 真下。  
Masubuchi 增渊。  
Masuda 增田。益田。舛田。桝田。升田。  
Masudo 益户。  
Masuhara 增原。  
Masuho 增穗。  
Masui 增井。桝井。益井。升井。摩寿意。  
Masujima 增岛。桝岛。益岛。升岛。  
Masukawa 增川。桝川。益川。升川。  
Masuko 增子。益子。  
Masumoto 增本。桝本。升本。  
Masumura 增村。  
Masunaga 增永。  
Masuno 增野。  
Masuo 增尾。  
Masuoka 增冈。桝冈。  
Masushima 桝」岛。  
Masutani 桝谷。增谷。升谷。益谷。  
Masuya 桝谷。增谷。  
Masuyama 增山。益山。  
Masuzawa 增泽。  
Matano 俣野。又野。  
Matayoshi 又吉。  
Mato 马渡。  
Matoba 的场。  
Matsuba 松叶。松场。  
Matsubara 松原。  
Matsubashi 松桥。  
Matsubayashi 松林。  
Matsuda 松田。茨田。末田。  
Matsudaira 松平。  
Matsudo 松户。松土。  
Matsue 松江。松枝。  
Matsueda 松枝。  
Matsufuji 松藤。  
Matsugami 松上。  
Matsuhashi 松桥。  
Matsuhiro 松广。  
Matsuhisa 松久。  
Matsui 松井。松居。  
Matsuishi 松石。  
Matsukata 松方。  
Matsukawa 松川。  
Matsuki 松木。茨木。末木。  
Matsukuma 松隈。  
Matsukura 松仓。  
Matsumae 松前。  
Matsumaru 松丸。  
Matsumi 松见。  
Matsumiya 松宫。  
Matsumori 松森。  
Matsumoto 松本。松元。  
Matsumura 松村。  
Matsumuro 松室。  
Matsunae 松苗。  
Matsunaga 松永。松长。  
Matsunaka 松中。  
Matsunami 松波。松浪。松涛。  
Matsunawa 松绳。  
Matsuno 松野。  
Matsunobu 松延。  
Matsunuma 松沼。  
Matsuo 松尾。松生。  
Matsuoka 松冈。  
Matsura 松浦。  
Matsusaka 松阪。  
Matsusaki 松崎。松前。  
Matsuse 松濑。  
Matsushima 松岛。  
Matsushiro 松代。  
Matsushita 松下。  
Matsutani 松谷。  
Matsuuchi 松内。  
Matsuura 松浦。松蒲。  
Matsuya 松谷。松屋。  
Matsuyama 松山。  
Matsuyoshi 松吉。  
Matsuzaka 松阪。  
Matsuzaki 松崎。  
Matsuzawa 松泽。  
Mawatari 马渡。  
Mayama 真山。  
Mayumi 真弓。  
Mayuzumi 黛。  
Mazaki 真崎。间崎。  
Megata 目贺田。  
Meguro 目黑。  
Meio 冥王。  
Meita 明田。名田。  
Mera 目良。米良。女良。  
Mezaki 目崎。  
Mibe 三部。  
Mibu 壬生。  
Mibuchi 三渊。  
Michibe 道部。  
Michigami 道上。  
Michihata 道端。  
Michiie 道家。  
Michimoto 道本。  
Michinaka 道中。  
Michishita 道下。  
Michiyama 道山。  
Midome 三留。见留。  
Midorikawa 绿川。翠川。  
Midoro 美土路。  
Mieda 三枝。  
Mieno 三重野。  
Mifune 三船。御船。  
Migita 右田。  
Mihara 三原。见原。  
Mihashi 三桥。  
Mihei 三瓶。  
Mihira 三平。  
Mihori 三掘。御掘。  
Mii 三井  
Miichi 见市。  
Miida 三井田。  
Miike 三池。  
Mikado 三角。三门。  
Mikame 三瓶。  
Mikami 三上。三神。见上。  
Mikamo 美甘。  
Mikanagi 御屋。  
Mikawa 三川。三河。  
Mikazuki 朏。  
Miki 三木。干。三鬼。御木。  
Mikimoto 御木本。  
Mikome 见米。  
Mikoshiba 御子柴。  
Mikumo 三云。  
Mikuni 三国。  
Mikura 三仓。  
Mikuriya 御厨。  
Mima 美马。三间。  
Mimatsu 三松。  
Mimori 三森。  
Mimoto 三本。  
Mimura 三村。  
Mimuro 三室。御室。  
Minagawa 皆川。源川。  
Minaguchi 水口。  
Minakami 水上。  
Minakata 南方。  
Minaki 皆木。  
Minakoshi 水越。  
Minakuchi 水口。  
Minami 南。已波。阳。三波。  
Minamida 南田。  
Minamide 南出。  
Minamiguchi 南口。  
Minamihata 南畑。  
Minamikata 南方。  
Minamikawa 南川。  
Minamimoto 南本。  
Minamimura 南村。  
Minamino 南野。  
Minamisato 南里。  
Minamisawa 南泽。  
Minamitani 南谷。  
Minamiura 南浦。  
Minamiya 南谷。  
Minamiyama 南山。  
Minamoto 源。  
Minato 凑。  
Mine 峰。三根。岭。  
Minegishi 峰岸。岭岸。  
Mineji 峰地。  
Minejima 峰岛。  
Minematsu 峰松。  
Minemura 峰村。  
Mineo 峰尾。  
Mineta 峰田。  
Mineyama 峰山。  
Minezaki 峰崎。  
Mino 美浓。三野。美努。  
Minobe 美浓部。三部。  
Minoda 萁田。蓑田。  
Minomura 三野村。  
Minoshima 蓑岛。  
Minoura 萁浦。  
Minowa 萁轮。蓑轮。  
Mio 三尾。  
Misaka 三阪。  
Misaki 三崎。见崎。御崎。  
Misako 三迫。  
Misawa 三泽。见泽。  
Mise 三濑。  
Miseki 三关。  
Mishiba 三柴。  
Mishima 三岛。  
Mishina 三品。三科。  
Misono 御园。  
Misonou 御园生。  
Misu 三须。  
Misugi 三杉。  
Misumi 三角。  
Mita 三田。见田。  
Mitake 三竹。  
Mitaku 三宅。  
Mitamura 三田村。  
 
 
 
Mitani 三谷。  
Mitarai 御手洗。  
Mito 水户。三户。  
Mitobe 水户部。  
Mitoma 三笘。  
Mitomi 三富。  
Mitomo 三友。  
Mitsubori 三堀。  
Mitsuchi 三土。  
Mitsuda 光田。  
Mitsufuji 光藤。  
Mitsuhara 密原。  
Mitsuhashi 三桥。  
Mitsui 三井。光井。满井。  
Mitsuishi 三石。  
Mitsuji 三迁。三次。  
Mitsuka 三冢。  
Mitsukawa 光川。  
Mitsuki 三木。  
Mitsukuri 萁作。  
Mitsuma 三间。  
Mitsumiya 三宫。  
Mitsumori 三森。  
Mitsumoto 三本。光本。  
Mitsumura 光村。  
Mitsunaga 光永。  
Mitsuno 三野。光野。  
Mitsuo 满尾。  
Mitsuoka 光冈。  
Mitsusaki 光崎。  
Mitsusawa 光泽。  
Mitsushima 光岛。  
Mitsuta 满田。  
Mitsutani 满谷。  
Mitsuto 三户。  
Mitsuya 三矢。  
Mitsuyama 光山。三山。  
Mitsuyasu 光安。  
Mitsuyoshi 光吉。  
Mitsuyuki 光行。  
Mitsuzuka 三冢。  
Miura 三浦。  
Miwa 三轮。三和。  
Miya 宫。三矢。  
Miyabayashi 宫林。  
Miyabe 宫部。  
Miyachi 宫地。  
Miyadera 宫寺。  
Miyagaki 宫垣。  
Miyagawa 宫川。  
Miyagi 宫城。  
Miyaguchi 宫口。  
Miyahara 宫原。  
Miyahira 宫平。  
Miyai 宫井。  
Miyairi 宫入。  
Miyaji 宫路。宫地。  
Miyajima 宫岛。  
Miyake 三宅。  
Miyaki 宫木。  
Miyako 都。  
Miyakoshi 宫腰。宫越。  
Miyakura 宫仓。  
Miyama 深山。三山。见山。美山。  
Miymae 宫前。  
Miyamori 宫森。  
Miyamoto 宫本。宫元。  
Miyamura 宫村。  
Miyanaga 宫永。  
Miyane 宫根。  
Miyanishi 宫西。  
Miyano 宫野。  
Miyanohara 宫之原。  
Miyao 宫尾。  
Miyaoi 宫负。  
Miyaoka 宫冈。  
Miyasaka 宫阪。  
Miyasaki 宫前。  
Miyasato 宫里。  
Miyashiro 宫代。  
Miyashita 宫下。  
Miyata 宫田。  
Miyatake 宫武。  
Miyatani 宫谷。  
Miyauchi 宫内。  
Miyaura 宫浦。  
Miyawaki 宫胁。  
Miyayama 宫山。  
Miyazaki 宫崎。  
Miyazawa 宫泽。  
Miyazono 宫园。  
Miyogawa 御代川。  
Miyokawa 三代川。  
Miyoshi 三好。三吉。三由。三善。  
Mizobata 沟端。  
Mizobe 沟部。  
Mizobuchi 沟渊。  
Mizogami 沟上。  
Mizoguchi 沟口。  
Mizohata 沟畑。  
Mizoi 沟井。  
Mizorogi 沟吕木。  
Mizota 沟田。  
Mizoue 沟上。  
Mizugaki 水垣。  
Mizuhara 水原。  
Mizuhashi 水桥。  
Mizui 水井。  
Mizukami 水上。  
Mizukawa 水川。  
Mizuki 水木。  
Mizukoshi 水越。  
Mizukuchi 水口。  
Mizukuri 深作。  
Mizuma 水间。  
Mizumachi 水町。  
Mizumoto 水本。水元。  
Mizumura 水村。  
Mizuno 水野。  
Mizunoya 水野谷。  
Mizunuma 水沼。  
Mizuochi 水落。  
Mizuoka 水冈。  
Mizusaki 水崎。  
Mizusawa 水泽。  
Mizushima 水岛。  
Mizuta 水田。  
Mizutani 水谷。  
Mizuuchi 水内。  
Mizuya 水谷。  
Mizuyama 水山。  
Mochi 饼。  
Mochida 持田。  
Mochimaru 持丸。  
Mochizuki 望月。  
Mogami 最上。马上。  
Mogi 茂木。  
Mohara 茂原。  
Moji 门司。  
Momiyama 山。  
Momo 桃。  
Momohara 桃原。  
Momoi 桃井。  
Momokawa 桃川。  
Momonoi 桃井。  
Momosawa 桃泽。  
Momose 百濑。  
Momota 百田。桃田。  
Momotani 桃谷。  
Monden 门田。  
Monguchi 门口。  
Moni 门井。  
Monji 门司。  
Monkura 门仓。  
Monma 门间。门马。  
Monno 门野。  
Monoe 物江。  
Monta 门田。  
Mori 森。盛。守。毛利。  
Moribayashi 森林。  
Moribe 守部。森部。  
Morichika 森近。  
Morie 森江。  
Morifuji 森藤。  
Morigaki 森垣。  
Morigami 森上。  
Moriguchi 森口。  
Morihara 森原。  
Morihira 森平。  
Morii 森井。森居。  
Moriizumi 森泉。  
Morijiri 森尻。  
Morikawa 森川。守川。  
Moriki 森木。  
Morimatsu 森松。  
Morimoto 森本。森元。守本。  
Morimura 森村。  
Morinaga 森永。守永。森长。  
Morinaka 森中。  
Morinishi 森西。  
Morino 森野。  
Morio 森尾。  
Morioka 森冈。盛冈。守冈。  
Morisada 盛定。  
Morisaka 森崎。  
Morisawa 森泽。  
Morise 森濑。  
Morishige 森重。  
Morishima 森岛。  
Morishita 森下。  
Morita 森田。守田。盛田。  
Moritaka 森高。  
Moritake 森竹。  
Moritani 森谷。守谷。  
Morito 森户。森藤。  
Moriuchi 森内。  
Moriue 森上。  
Moriwaki 森胁。  
Moriya 守屋。森谷。守谷。森屋。  
Moriyama 森山。守山。盛山。  
Moriyasu 森安。守安。  
Moriyoshi 森吉。  
Morizane 森实。  
Morizumi 森住。守住。  
Moro 茂吕。诸。  
Moroboshi 诸星。  
Moroguchi 诸口。  
Morohashi 诸桥。  
Moroi 诸井。  
Morokuzu 诸葛。  
Morooka 诸冈。师冈。  
Morosawa 诸泽。  
Morota 诸田。  
Moroto 诸户。  
Morozumi 两角。  
Morozuno 两角。  
Motai 马渡。  
Motegi 茂手木。茂木。  
Moteki 茂木。茂出木。  
Moto 本。  
Motobayashi 本林。  
Motoda 本田。元田。  
Motofuji 本藤。  
Motohashi 本桥。元桥。  
Motoi 元井。本井。基。  
Motoji 泉二。  
Motojima 本岛。元岛。  
Motokawa 元川。  
Motoki 元木。本木。  
Motomiya 本宫。  
Motomura 本村。元村。  
